,index,RFP_count,YFP_count,CFP_count,timepoint (hrs),experiment
0,0,0,0,3,18,L0
1,1,0,0,0,18,L0
2,2,0,4,0,18,L0
3,3,0,0,4,18,L0
4,4,21,33,0,18,L0
5,5,0,23,12,18,L0
6,6,10,0,0,18,L0
7,7,0,0,0,18,L0
8,8,25,29,0,18,L0
9,9,0,0,0,18,L0
10,10,0,40,0,18,L0
11,11,0,0,0,18,L0
12,12,20,36,9,18,L0
13,13,0,4,0,18,L0
14,14,0,10,0,18,L0
15,15,0,0,0,18,L0
16,16,28,0,0,18,L0
17,17,28,0,0,18,L0
18,18,0,9,0,18,L0
19,19,0,11,0,18,L0
20,20,1,19,17,18,L0
21,21,0,16,26,18,L0
22,22,0,0,0,18,L0
23,23,7,19,27,18,L0
24,24,0,19,20,18,L0
25,25,18,2,10,18,L0
26,26,1,23,35,18,L0
27,27,22,18,9,18,L0
28,28,0,15,15,18,L0
29,29,0,6,0,18,L0
30,30,0,27,30,18,L0
31,31,34,0,0,18,L0
32,32,0,17,21,18,L0
33,33,34,0,0,18,L0
34,34,0,29,37,18,L0
35,35,33,32,0,18,L0
36,36,31,18,0,18,L0
37,37,0,5,0,18,L0
38,38,31,0,0,18,L0
39,39,26,31,0,18,L0
40,40,0,4,0,18,L0
41,41,18,22,13,18,L0
42,42,26,0,0,18,L0
43,43,21,3,5,18,L0
44,44,0,4,0,18,L0
45,45,0,0,1,18,L0
46,46,0,15,15,18,L0
47,47,0,45,1,18,L0
48,48,0,11,2,18,L0
49,49,0,0,0,18,L0
50,50,14,8,3,18,L0
51,51,12,19,6,18,L0
52,52,41,0,0,18,L0
53,53,0,0,6,18,L0
54,54,0,21,16,18,L0
55,55,1,0,1,18,L0
56,56,0,13,0,18,L0
57,57,26,0,3,18,L0
58,58,0,27,39,18,L0
59,59,0,23,6,18,L0
60,60,33,11,0,18,L0
61,61,0,12,0,18,L0
62,62,40,0,1,18,L0
63,63,21,0,8,18,L0
64,64,1,0,0,18,L0
65,65,26,27,0,18,L0
66,66,0,4,0,18,L0
67,67,28,0,0,18,L0
68,68,30,40,1,18,L0
69,69,11,29,22,18,L0
70,70,0,20,0,18,L0
71,71,0,15,0,18,L0
72,72,31,0,4,18,L0
73,73,0,0,0,18,L0
74,74,0,7,0,18,L0
75,75,0,0,0,18,L0
76,76,0,5,0,18,L0
77,77,0,17,13,18,L0
78,78,27,25,0,18,L0
79,79,29,0,4,18,L0
80,80,1,0,1,18,L0
81,81,0,9,0,18,L0
82,82,20,9,6,18,L0
83,83,24,23,2,18,L0
84,84,32,0,0,18,L0
85,85,8,38,0,18,L0
86,86,24,12,0,18,L0
87,87,0,16,27,18,L0
88,88,35,0,0,18,L0
89,89,25,31,0,18,L0
90,90,0,48,0,18,L0
91,91,16,12,6,18,L0
92,92,0,7,0,18,L0
93,93,0,15,0,18,L0
94,94,3,23,23,18,L0
95,95,0,0,0,18,L0
96,96,0,14,0,18,L0
97,97,0,0,1,18,L0
98,98,39,0,0,18,L0
99,99,33,0,0,18,L0
100,100,31,0,3,18,L0
101,101,0,7,0,18,L0
102,102,0,0,0,18,L0
103,103,32,0,4,18,L0
104,104,20,45,0,18,L0
105,105,0,22,12,18,L0
106,106,42,19,7,18,L0
107,107,36,0,0,18,L0
108,108,0,66,0,18,L0
109,109,0,18,24,18,L0
110,110,0,30,41,18,L0
111,111,37,0,1,18,L0
112,112,36,23,0,18,L0
113,113,35,1,8,18,L0
114,114,0,0,0,18,L0
115,115,40,0,5,18,L0
116,116,35,0,0,18,L0
117,117,30,15,0,18,L0
118,118,0,18,41,18,L0
119,119,0,0,3,18,L0
120,120,0,4,0,18,L0
121,121,0,16,23,18,L0
122,122,1,9,3,18,L0
123,123,35,18,3,18,L0
124,124,0,1,0,18,L0
125,125,0,0,0,18,L0
126,126,7,17,20,18,L0
127,127,35,32,2,18,L0
128,128,0,16,0,18,L0
129,129,22,18,10,18,L0
130,130,0,0,0,18,L0
131,131,0,0,1,18,L0
132,132,24,21,0,18,L0
133,133,0,10,0,18,L0
134,134,0,0,0,18,L0
135,135,35,0,1,18,L0
136,136,0,29,3,18,L0
137,137,28,29,0,18,L0
138,138,0,21,34,18,L0
139,139,0,0,0,18,L0
140,140,31,0,0,18,L0
141,141,28,0,2,18,L0
142,142,31,33,0,18,L0
143,143,38,33,0,18,L0
144,144,0,0,0,18,L0
145,145,0,10,30,18,L0
146,146,0,3,3,18,L0
147,147,0,6,0,18,L0
148,148,0,0,0,18,L0
149,149,0,10,0,18,L0
150,150,0,30,6,18,L0
151,151,0,0,1,18,L0
152,152,0,15,0,18,L0
153,153,0,0,0,18,L0
154,154,0,14,5,18,L0
155,155,1,17,0,18,L0
156,156,0,0,0,18,L0
157,157,30,0,0,18,L0
158,158,0,0,3,18,L0
159,159,0,5,0,18,L0
160,160,0,13,0,18,L0
161,161,27,4,1,18,L0
162,162,0,0,1,18,L0
163,163,0,17,0,18,L0
164,164,0,17,16,18,L0
165,165,5,28,31,18,L0
166,166,22,34,0,18,L0
167,167,24,23,0,18,L0
168,168,1,8,0,18,L0
169,169,0,20,34,18,L0
170,170,1,0,1,18,L0
171,171,0,24,28,18,L0
172,172,26,26,0,18,L0
173,173,0,0,0,18,L0
174,174,22,0,0,18,L0
175,175,0,15,0,18,L0
176,176,31,0,1,18,L0
177,177,37,40,0,18,L0
178,178,29,8,0,18,L0
179,179,0,0,0,18,L0
180,180,27,14,0,18,L0
181,181,0,19,1,18,L0
182,182,34,16,0,18,L0
183,183,23,7,10,18,L0
184,184,0,0,0,18,L0
185,185,2,5,0,18,L0
186,186,30,0,0,18,L0
187,187,0,19,10,18,L0
188,188,0,0,0,18,L0
189,189,28,0,0,18,L0
190,190,0,0,0,18,L0
191,191,12,22,19,18,L0
192,192,8,0,0,18,L0
193,193,0,0,1,18,L0
194,194,1,0,2,18,L0
195,195,13,0,0,18,L0
196,196,13,49,8,18,L0
197,197,0,13,0,18,L0
198,198,0,0,0,18,L0
199,199,28,0,0,18,L0
200,200,0,0,0,18,L0
201,201,0,11,22,18,L0
202,202,0,17,17,18,L0
203,203,30,30,0,18,L0
204,204,28,29,0,18,L0
205,205,8,0,0,18,L0
206,206,28,1,2,18,L0
207,207,0,0,0,18,L0
208,208,0,7,0,18,L0
209,209,0,0,0,18,L0
210,210,0,0,0,18,L0
211,211,30,30,0,18,L0
212,212,23,22,17,18,L0
213,213,35,10,0,18,L0
214,214,0,3,0,18,L0
215,215,29,0,0,18,L0
216,216,1,5,0,18,L0
217,217,0,7,0,18,L0
218,218,26,14,0,18,L0
219,219,0,0,0,18,L0
220,220,0,0,0,18,L0
221,221,0,8,0,18,L0
222,222,0,6,0,18,L0
223,223,31,0,0,18,L0
224,224,0,29,27,18,L0
225,225,3,22,11,18,L0
226,226,27,0,0,18,L0
