,index,count,strain,grown with,relative growth,timepoint (hrs),experiment
0,0,10,RFP,RFP,0.4227053140096618,18,L0
1,1,32,RFP,RFP,1.3526570048309179,18,L0
2,2,28,RFP,RFP,1.183574879227053,18,L0
3,3,1,RFP,RFP,0.042270531400966184,18,L0
4,4,1,RFP,RFP,0.042270531400966184,18,L0
5,5,32,RFP,RFP,1.3526570048309179,18,L0
6,6,34,RFP,RFP,1.4371980676328502,18,L0
7,7,25,RFP,RFP,1.0567632850241546,18,L0
8,8,42,RFP,RFP,1.7753623188405796,18,L0
9,9,30,RFP,RFP,1.2681159420289854,18,L0
10,10,24,RFP,RFP,1.0144927536231882,18,L0
11,11,1,RFP,RFP,0.042270531400966184,18,L0
12,12,30,RFP,RFP,1.2681159420289854,18,L0
13,13,1,RFP,RFP,0.042270531400966184,18,L0
14,14,32,RFP,RFP,1.3526570048309179,18,L0
15,15,39,RFP,RFP,1.6485507246376812,18,L0
16,16,33,RFP,RFP,1.394927536231884,18,L0
17,17,35,RFP,RFP,1.4794685990338163,18,L0
18,18,35,RFP,RFP,1.4794685990338163,18,L0
19,19,34,RFP,RFP,1.4371980676328502,18,L0
20,20,34,RFP,RFP,1.4371980676328502,18,L0
21,21,31,RFP,RFP,1.3103864734299515,18,L0
22,22,22,RFP,RFP,0.929951690821256,18,L0
23,23,21,RFP,RFP,0.8876811594202898,18,L0
24,24,26,RFP,RFP,1.0990338164251208,18,L0
25,25,14,RFP,RFP,0.5917874396135265,18,L0
26,26,30,RFP,RFP,1.2681159420289854,18,L0
27,27,1,RFP,RFP,0.042270531400966184,18,L0
28,28,9,RFP,RFP,0.3804347826086956,18,L0
29,29,37,RFP,RFP,1.5640096618357486,18,L0
30,30,8,RFP,RFP,0.33816425120772947,18,L0
31,31,29,RFP,RFP,1.2258454106280192,18,L0
32,32,1,RFP,RFP,0.042270531400966184,18,L0
33,33,27,RFP,RFP,1.141304347826087,18,L0
34,34,39,RFP,RFP,1.6485507246376812,18,L0
35,35,26,RFP,CFP,1.0990338164251208,18,L0
36,36,37,RFP,CFP,1.5640096618357486,18,L0
37,37,21,RFP,CFP,0.8876811594202898,18,L0
38,38,1,RFP,CFP,0.042270531400966184,18,L0
39,39,27,RFP,CFP,1.141304347826087,18,L0
40,40,30,RFP,CFP,1.2681159420289854,18,L0
41,41,31,RFP,CFP,1.3103864734299515,18,L0
42,42,32,RFP,CFP,1.3526570048309179,18,L0
43,43,40,RFP,CFP,1.6908212560386473,18,L0
44,44,34,RFP,CFP,1.4371980676328502,18,L0
45,45,1,RFP,CFP,0.042270531400966184,18,L0
46,46,28,RFP,CFP,1.183574879227053,18,L0
47,47,33,RFP,CFP,1.394927536231884,18,L0
48,48,28,RFP,CFP,1.183574879227053,18,L0
49,49,33,RFP,CFP,1.394927536231884,18,L0
50,50,21,RFP,YFP,0.8876811594202898,18,L0
51,51,1,RFP,YFP,0.042270531400966184,18,L0
52,52,28,RFP,YFP,1.183574879227053,18,L0
53,53,31,RFP,YFP,1.3103864734299515,18,L0
54,54,33,RFP,YFP,1.394927536231884,18,L0
55,55,26,RFP,YFP,1.0990338164251208,18,L0
56,56,33,RFP,YFP,1.394927536231884,18,L0
57,57,2,RFP,YFP,0.08454106280193237,18,L0
58,58,25,RFP,YFP,1.0567632850241546,18,L0
59,59,27,RFP,YFP,1.141304347826087,18,L0
60,60,8,RFP,YFP,0.33816425120772947,18,L0
61,61,19,RFP,YFP,0.8031400966183575,18,L0
62,62,24,RFP,YFP,1.0144927536231882,18,L0
63,63,20,RFP,YFP,0.8454106280193237,18,L0
64,64,31,RFP,YFP,1.3103864734299515,18,L0
65,65,36,RFP,YFP,1.5217391304347825,18,L0
66,66,2,RFP,YFP,0.08454106280193237,18,L0
67,67,31,RFP,YFP,1.3103864734299515,18,L0
68,68,29,RFP,YFP,1.2258454106280192,18,L0
69,69,38,RFP,YFP,1.606280193236715,18,L0
70,70,28,RFP,YFP,1.183574879227053,18,L0
71,71,34,RFP,YFP,1.4371980676328502,18,L0
72,72,1,RFP,YFP,0.042270531400966184,18,L0
73,73,1,RFP,YFP,0.042270531400966184,18,L0
74,74,24,RFP,YFP,1.0144927536231882,18,L0
75,75,29,RFP,YFP,1.2258454106280192,18,L0
76,76,21,RFP,YFP,0.8876811594202898,18,L0
77,77,27,RFP,YFP,1.141304347826087,18,L0
78,78,22,RFP,YFP,0.929951690821256,18,L0
79,79,37,RFP,YFP,1.5640096618357486,18,L0
80,80,1,RFP,YFP,0.042270531400966184,18,L0
81,81,30,RFP,YFP,1.2681159420289854,18,L0
82,82,28,RFP,YFP,1.183574879227053,18,L0
83,83,26,RFP,YFP,1.0990338164251208,18,L0
84,84,34,RFP,YFP,1.4371980676328502,18,L0
85,85,23,RFP,YFP,0.9722222222222222,18,L0
86,86,26,RFP,YFP,1.0990338164251208,18,L0
87,0,3,CFP,RFP,1.6956521739130435,18,L0
88,1,1,CFP,RFP,0.5652173913043479,18,L0
89,2,8,CFP,RFP,4.521739130434783,18,L0
90,3,1,CFP,RFP,0.5652173913043479,18,L0
91,4,4,CFP,RFP,2.2608695652173916,18,L0
92,5,4,CFP,RFP,2.2608695652173916,18,L0
93,6,3,CFP,RFP,1.6956521739130435,18,L0
94,7,5,CFP,RFP,2.8260869565217392,18,L0
95,8,4,CFP,RFP,2.2608695652173916,18,L0
96,9,1,CFP,RFP,0.5652173913043479,18,L0
97,10,1,CFP,RFP,0.5652173913043479,18,L0
98,11,2,CFP,RFP,1.1304347826086958,18,L0
99,12,3,CFP,RFP,1.6956521739130435,18,L0
100,13,2,CFP,RFP,1.1304347826086958,18,L0
101,14,1,CFP,RFP,0.5652173913043479,18,L0
102,15,3,CFP,CFP,1.6956521739130435,18,L0
103,16,2,CFP,CFP,1.1304347826086958,18,L0
104,17,1,CFP,CFP,0.5652173913043479,18,L0
105,18,4,CFP,CFP,2.2608695652173916,18,L0
106,19,1,CFP,CFP,0.5652173913043479,18,L0
107,20,1,CFP,CFP,0.5652173913043479,18,L0
108,21,3,CFP,CFP,1.6956521739130435,18,L0
109,22,1,CFP,CFP,0.5652173913043479,18,L0
110,23,3,CFP,CFP,1.6956521739130435,18,L0
111,24,1,CFP,CFP,0.5652173913043479,18,L0
112,25,1,CFP,CFP,0.5652173913043479,18,L0
113,26,1,CFP,CFP,0.5652173913043479,18,L0
114,27,1,CFP,CFP,0.5652173913043479,18,L0
115,28,12,CFP,YFP,6.782608695652174,18,L0
116,29,21,CFP,YFP,11.869565217391305,18,L0
117,30,1,CFP,YFP,0.5652173913043479,18,L0
118,31,15,CFP,YFP,8.478260869565217,18,L0
119,32,15,CFP,YFP,8.478260869565217,18,L0
120,33,29,CFP,YFP,16.391304347826086,18,L0
121,34,37,CFP,YFP,20.91304347826087,18,L0
122,35,1,CFP,YFP,0.5652173913043479,18,L0
123,36,30,CFP,YFP,16.956521739130434,18,L0
124,37,20,CFP,YFP,11.304347826086957,18,L0
125,38,16,CFP,YFP,9.043478260869566,18,L0
126,39,5,CFP,YFP,2.8260869565217392,18,L0
127,40,38,CFP,YFP,21.47826086956522,18,L0
128,41,1,CFP,YFP,0.5652173913043479,18,L0
129,42,29,CFP,YFP,16.391304347826086,18,L0
130,43,12,CFP,YFP,6.782608695652174,18,L0
131,44,24,CFP,YFP,13.565217391304348,18,L0
132,45,41,CFP,YFP,23.17391304347826,18,L0
133,46,17,CFP,YFP,9.608695652173914,18,L0
134,47,39,CFP,YFP,22.043478260869566,18,L0
135,48,23,CFP,YFP,13.0,18,L0
136,49,1,CFP,YFP,0.5652173913043479,18,L0
137,50,6,CFP,YFP,3.391304347826087,18,L0
138,51,33,CFP,YFP,18.65217391304348,18,L0
139,52,17,CFP,YFP,9.608695652173914,18,L0
140,53,1,CFP,YFP,0.5652173913043479,18,L0
141,54,7,CFP,YFP,3.956521739130435,18,L0
142,55,29,CFP,YFP,16.391304347826086,18,L0
143,56,1,CFP,YFP,0.5652173913043479,18,L0
144,57,25,CFP,YFP,14.130434782608695,18,L0
145,58,28,CFP,YFP,15.82608695652174,18,L0
146,59,9,CFP,YFP,5.086956521739131,18,L0
147,60,1,CFP,YFP,0.5652173913043479,18,L0
148,61,23,CFP,YFP,13.0,18,L0
149,62,30,CFP,YFP,16.956521739130434,18,L0
150,63,20,CFP,YFP,11.304347826086957,18,L0
151,0,33,YFP,RFP,2.64,18,L0
152,1,11,YFP,RFP,0.88,18,L0
153,2,30,YFP,RFP,2.4,18,L0
154,3,18,YFP,RFP,1.44,18,L0
155,4,32,YFP,RFP,2.56,18,L0
156,5,27,YFP,RFP,2.16,18,L0
157,6,11,YFP,RFP,0.88,18,L0
158,7,5,YFP,RFP,0.4,18,L0
159,8,17,YFP,RFP,1.36,18,L0
